"country","Date","flu_cases","dengue_cases","life_expectancy"
Hungary,"2013-02-10","336",,
Netherlands,"2007-09-23","28",,
Peru,"2014-05-04","138",,
Switzerland,"2009-09-27","43",,
Sweden,"2013-04-07","10",,
Netherlands,"2011-10-09","23",,
Uruguay,"2013-09-15","102",,
Austria,"2010-01-10","735",,
United States,"2008-08-10","684",,
Peru,"2011-04-03","144",,
United States,"2004-10-24","1767",,
Romania,"2014-02-09","740",,
Argentina,"2003-01-19",NA,NA,
Japan,"2005-07-31","2",,
Uruguay,"2003-08-10","178",,
Ukraine,"2009-09-27","590",,
Bulgaria,"2006-08-27","466",,
Spain,"2008-07-06","8",,
Netherlands,"2004-07-18","13",,
Canada,"2012-12-23","6425",,
Japan,"2005-09-25","2",,
Bulgaria,"2014-06-29","208",,
Germany,"2003-11-09","1103",,
Belgium,"2012-07-29","12",,
Switzerland,"2010-05-30","5",,
Australia,"2006-04-02","356",,
Mexico,"2015-05-17","1095","0.138",
Romania,"2008-06-22","566",,
Brazil,"2007-09-23","256","0.055",
United States,"2013-11-03","1560",,
United States,"2013-06-09","1024",,
Russia,"2013-03-17","998",,
Argentina,"2009-06-28","442","0.145",
Brazil,"2011-10-09","123","0.071",
Chile,"2011-01-09","2",,
Uruguay,"2008-11-23","89",,
Norway,"2004-02-01",NA,,
Russia,"2014-02-16","881",,
Russia,"2006-12-24","330",,
Uruguay,"2013-01-20","65",,
Brazil,"2007-07-15","265","0.087",
Poland,"2006-03-12","150",,
Paraguay,"2006-10-15","330",,
Japan,"2004-11-07","30",,
South Africa,"2007-12-02","2014",,
Austria,"2004-09-26","702",,
New Zealand,"2007-04-29","19",,
Poland,"2004-04-25",NA,,
Sweden,"2004-06-06",NA,,
Bolivia,"2015-07-12","218","0.001",
Chile,"2009-02-22","1",,
Hungary,"2003-04-20",NA,,
Austria,"2013-04-21","726",,
Norway,"2007-05-27","14",,
Sweden,"2015-06-14","1",,
Argentina,"2003-12-14","109","0.022",
Bolivia,"2015-02-08","135","0.009",
Russia,"2008-03-16","626",,
Bolivia,"2004-05-16","587","0.032",
Russia,"2015-08-09","267",,
Norway,"2010-10-31","91",,
Brazil,"2010-08-29","214","0.102",
Switzerland,"2008-12-21","71",,
Argentina,"2012-01-22","57","0.039",
Canada,"2005-02-20","3658",,
Canada,"2009-10-25","9688",,
Hungary,"2003-11-16",NA,,
Switzerland,"2003-09-14",NA,,
Bulgaria,"2004-11-07",NA,,
Romania,"2015-03-01","1121",,
Canada,"2003-01-05",NA,,
South Africa,"2014-08-17","4309",,
Chile,"2011-03-13","3",,
Romania,"2004-01-04","932",,
