"country","Date","flu_cases","dengue_cases","life_expectancy"
Switzerland,"2006-03-19","138",,
Peru,"2015-06-28","157",,
South Africa,"2007-04-15","2221",,
Brazil,"2009-12-27","117","0.127",
Chile,"2013-03-24","7",,
Netherlands,"2011-06-12","11",,
Brazil,"2015-05-31","263","0.275",
France,"2011-07-24","2",,
Uruguay,"2005-01-09","89",,
Netherlands,"2008-03-30","36",,
Netherlands,"2008-09-28","25",,
South Africa,"2004-10-17",NA,,
Uruguay,"2005-10-16","179",,
Bulgaria,"2003-12-28",NA,,
Belgium,"2014-06-15","19",,
Russia,"2013-08-11","297",,
Peru,"2007-05-27","307",,
Belgium,"2003-01-05",NA,,
Paraguay,"2007-04-29","398",,
South Africa,"2005-09-04",NA,,
Netherlands,"2007-11-04","31",,
Switzerland,"2003-10-19",NA,,
France,"2015-01-11","191",,
Hungary,"2014-12-21","87",,
Peru,"2010-10-31","191",,
New Zealand,"2006-10-15","12",,
Australia,"2005-12-04",NA,,
Russia,"2015-03-22","785",,
Australia,"2005-09-25",NA,,
Germany,"2007-05-06","524",,
Japan,"2006-04-02","11",,
Spain,"2005-03-27","32",,
Hungary,"2004-08-22",NA,,
South Africa,"2006-07-02","4091",,
Spain,"2007-08-26","15",,
Brazil,"2007-02-11","197","0.143",
Germany,"2006-06-04","603",,
United States,"2013-02-24","3784",,
Australia,"2005-07-31",NA,,
France,"2005-06-19","8",,
Belgium,"2006-01-15","131",,
Poland,"2012-05-20","15",,
Sweden,"2005-05-01",NA,,
Ukraine,"2008-06-29","189",,
Peru,"2006-01-29","194",,
Chile,"2010-06-20","7",,
Ukraine,"2009-01-25","482",,
Poland,"2009-01-18","357",,
Australia,"2004-11-07",NA,,
Austria,"2013-11-17","919",,
Brazil,"2009-03-15","202","0.435",
Ukraine,"2012-03-25","462",,
Romania,"2010-05-23","557",,
Mexico,"2003-08-24",NA,"0.063",
Russia,"2005-10-30","411",,
Bolivia,"2009-04-19","352","0.142",
Bolivia,"2008-05-11","396","0.031",
Argentina,"2013-05-12","128","0.137",
Norway,"2015-06-21","32",,
Ukraine,"2006-09-24","321",,
Netherlands,"2007-02-11","55",,
Norway,"2006-02-12","85",,
Sweden,"2005-07-24",NA,,
Paraguay,"2014-03-09","190",,
South Africa,"2012-02-19","1872",,
Switzerland,"2006-09-24","13",,
Japan,"2009-03-01","284",,
Australia,"2008-09-14","976",,
Argentina,"2008-04-13","174","0.06",
Bolivia,"2008-06-08","370","0.036",
Bulgaria,"2005-07-10","467",,
Poland,"2008-11-02","39",,
Paraguay,"2013-06-02","283",,
Russia,"2005-11-13","371",,
Switzerland,"2009-01-25","527",,
Bulgaria,"2003-05-18",NA,,
Hungary,"2010-04-25","46",,
Poland,"2003-04-06",NA,,
New Zealand,"2014-11-16","29",,
Germany,"2014-11-23","956",,
Spain,"2012-11-18","21",,
Switzerland,"2012-03-25","64",,
Canada,"2003-03-02",NA,,
United States,"2009-11-08","4468",,
Mexico,"2007-10-21","1236","0.586",
Germany,"2015-07-12","349",,
Switzerland,"2008-06-29","14",,
Paraguay,"2010-03-14","149",,
Germany,"2004-05-16","556",,
Germany,"2015-02-08","2332",,
Canada,"2003-06-22",NA,,
Poland,"2013-06-23","13",,
Canada,"2012-08-12","684",,
Netherlands,"2009-03-15","32",,
United States,"2013-06-30","925",,
Romania,"2003-07-06","545",,
Sweden,"2011-05-15","1",,
Russia,"2005-10-09","296",,
Austria,"2012-06-17","467",,
South Africa,"2006-06-11","4619",,
New Zealand,"2010-11-21","16",,
Mexico,"2015-02-15","1833","0.102",
Hungary,"2003-03-23",NA,,
Romania,"2011-05-01","602",,
France,"2013-08-25","3",,
Russia,"2003-05-18",NA,,
Spain,"2003-01-05",NA,,
Argentina,"2009-04-26","154","0.971",
Ukraine,"2011-03-27","343",,
New Zealand,"2009-01-18","6",,
Bulgaria,"2005-11-13","1163",,
Switzerland,"2010-07-11","8",,
Russia,"2005-07-10","127",,
United States,"2015-06-21","820",,
Brazil,"2011-09-11","158","0.079",
Germany,"2007-02-25","1922",,
Japan,"2007-01-14","38",,
Mexico,"2011-08-07","494","0.095",
South Africa,"2010-06-20","3322",,
Paraguay,"2015-07-26","372",,
Uruguay,"2004-03-28","120",,
Argentina,"2006-02-26","95","0.019",
Netherlands,"2005-11-06","30",,
Argentina,"2003-06-01","253","0.034",
France,"2014-12-14","113",,
Switzerland,"2012-11-04","37",,
Hungary,"2004-10-03",NA,,
Spain,"2014-06-15","8",,
Argentina,"2011-12-18","56","0.024",
Chile,"2006-07-02","8",,
Norway,"2013-02-24","147",,
Bulgaria,"2005-10-09","824",,
Japan,"2011-07-17","3",,
Argentina,"2013-04-07","103","0.154",
Hungary,"2013-04-14","54",,
Hungary,"2011-02-27","182",,
Paraguay,"2010-07-18","223",,
Romania,"2010-01-24","703",,
Switzerland,"2004-11-14","34",,
Sweden,"2004-06-27",NA,,
Bolivia,"2012-12-09","137","0.015",
Hungary,"2008-07-20","33",,
Uruguay,"2012-04-29","80",,
Sweden,"2011-08-21","1",,
Brazil,"2013-08-18","207","0.06",
Spain,"2009-10-25","268",,
Peru,"2006-08-13","287",,
France,"2007-01-21","191",,
Paraguay,"2004-05-30",NA,,
Spain,"2005-02-20","57",,
Belgium,"2010-04-18","22",,
Japan,"2012-04-08","191",,
Paraguay,"2011-05-08","225",,
Mexico,"2006-11-26","1464","0.1",
New Zealand,"2012-05-20","37",,
Sweden,"2004-12-26",NA,,
Netherlands,"2012-12-02","45",,
Brazil,"2005-11-06","278","0.046",
Romania,"2014-08-24","569",,
Uruguay,"2005-05-08","125",,
Norway,"2013-06-30","23",,
Germany,"2007-04-01","799",,
Paraguay,"2015-01-25","159",,
New Zealand,"2013-06-23","63",,
Uruguay,"2013-05-05","88",,
Japan,"2007-08-12","2",,
France,"2006-07-30","6",,
Belgium,"2009-11-01","517",,
Sweden,"2003-01-19",NA,,
Bulgaria,"2015-03-22","731",,
Spain,"2012-04-15","20",,
Belgium,"2014-03-16","153",,
Norway,"2009-11-08","618",,
Austria,"2014-03-02","1491",,
Chile,"2006-06-11","5",,
Uruguay,"2012-10-07","108",,
Ukraine,"2004-11-14",NA,,
Bolivia,"2013-02-17","124","0.025",
Netherlands,"2011-09-11","16",,
Poland,"2010-11-21","27",,
Austria,"2014-06-22","562",,
Australia,"2015-08-09","2216",,
Australia,"2008-03-16","214",,
Japan,"2012-03-04","999",,
Bulgaria,"2005-10-30","1027",,
Chile,"2012-02-19","2",,
Peru,"2009-03-22","178",,
Brazil,"2012-12-02","118","0.054",
Uruguay,"2008-09-21","140",,
Argentina,"2004-06-06","283","0.036",
Ukraine,"2012-11-04","429",,
Netherlands,"2013-08-18","19",,
Ukraine,"2010-07-11","189",,
Sweden,"2009-06-28","1",,
United States,"2006-02-12","2437",,
New Zealand,"2008-11-02","17",,
Switzerland,"2011-03-27","25",,
France,"2014-07-06","3",,
Poland,"2014-11-16","30",,
Austria,"2013-10-06","1090",,
Japan,"2003-11-02","14",,
New Zealand,"2003-04-06",NA,,
Sweden,"2014-03-30","5",,
Austria,"2008-06-15","592",,
United States,"2011-05-22","882",,
Peru,"2007-08-19","268",,
Bolivia,"2005-10-02","413","0.022",
Russia,"2009-12-20","605",,
Norway,"2010-12-19","267",,
Bulgaria,"2004-02-29",NA,,
Romania,"2003-07-20","528",,
Canada,"2015-06-07","976",,
United States,"2004-01-18","1616",,
Brazil,"2003-09-14","228","0.034",
South Africa,"2008-08-31","2849",,
Russia,"2006-09-17","320",,
Japan,"2012-07-01","7",,
Austria,"2013-12-15","1074",,
Switzerland,"2010-08-29","16",,
Brazil,"2008-12-21","140","0.098",
Germany,"2015-08-02","298",,
Switzerland,"2015-01-18","452",,
Sweden,"2012-05-13","2",,
Australia,"2005-12-18",NA,,
Peru,"2004-12-19","202",,
Uruguay,"2004-11-21","114",,
Japan,"2008-04-06","14",,
Belgium,"2012-11-18","79",,
Chile,"2013-10-27","12",,
Canada,"2007-04-22","1326",,
Bulgaria,"2013-08-11","147",,
Russia,"2003-12-28",NA,,
Chile,"2005-08-21","3",,
Germany,"2007-11-25","1156",,
Romania,"2007-06-17","602",,
Romania,"2013-11-24","677",,
Netherlands,"2003-09-14",NA,,
Romania,"2003-02-02",NA,,
Chile,"2004-10-17","2",,
Netherlands,"2008-12-21","66",,
Japan,"2015-07-05","13",,
South Africa,"2013-03-24","2242",,
Paraguay,"2004-04-25",NA,,
Ukraine,"2015-01-18","419",,
Hungary,"2006-08-20","49",,
Paraguay,"2006-03-12","207",,
Chile,"2005-09-04","3",,
Poland,"2006-10-15","61",,
Sweden,"2015-03-08","23",,
Japan,"2013-07-28","4",,
Belgium,"2007-08-26","16",,
Japan,"2011-03-20","150",,
Spain,"2006-01-15","26",,
Ukraine,"2010-08-29","388",,
Argentina,"2009-06-21","431","0.217",
Norway,"2009-06-14","27",,
Chile,"2007-04-15","9",,
Sweden,"2004-03-21",NA,,
Russia,"2005-01-23","299",,
Argentina,"2011-10-16","89","0.029",
Belgium,"2005-03-27","72",,
Bolivia,"2014-08-31","197","0.011",
Austria,"2008-02-10","1234",,
Bulgaria,"2011-03-20","520",,
France,"2011-03-06","20",,
United States,"2011-04-03","1405",,
Peru,"2004-10-24","367",,
Peru,"2008-08-10","222",,
Poland,"2011-10-30","29",,
Netherlands,"2010-05-30","12",,
Ukraine,"2007-07-15","195",,
Bulgaria,"2013-07-28","130",,
Switzerland,"2004-07-18","7",,
Austria,"2011-12-25","850",,
South Africa,"2011-02-06","2311",,
Sweden,"2003-08-24",NA,,
Ukraine,"2011-10-09","410",,
New Zealand,"2004-09-12",NA,,
France,"2003-06-15",NA,,
Poland,"2007-05-13","22",,
Ukraine,"2007-09-23","460",,
Canada,"2007-07-22","635",,
Bulgaria,"2015-07-05","165",,
France,"2009-12-06","641",,
Uruguay,"2007-03-04","77",,
Australia,"2003-07-27",NA,,
Peru,"2013-11-03","125",,
Argentina,"2007-07-29","285","0.017",
Peru,"2013-06-09","140",,
South Africa,"2011-04-10","2297",,
South Africa,"2008-04-20","2499",,
Spain,"2015-05-10","18",,
Brazil,"2009-09-27","186","0.063",
Belgium,"2004-05-23","38",,
Uruguay,"2006-07-09","177",,
Mexico,"2005-05-01","900","0.051",
Poland,"2010-09-19","41",,
Bolivia,"2009-08-16","284","0.066",
Bulgaria,"2008-04-06","848",,
Sweden,"2007-10-21","2",,
Peru,"2010-01-31","115",,
Norway,"2003-03-09",NA,,
Paraguay,"2012-11-11","141",,
Poland,"2005-05-29","25",,
Brazil,"2010-05-30","212","0.229",
Mexico,"2011-05-15","708","0.082",
Japan,"2013-08-11","3",,
Romania,"2006-11-05","786",,
Argentina,"2009-09-20","145","0.149",
Spain,"2007-10-28","29",,
Poland,"2014-11-30","34",,
Spain,"2008-06-01","11",,
Australia,"2006-07-16","621",,
Sweden,"2015-02-15","30",,
New Zealand,"2012-04-22","21",,
Netherlands,"2009-09-27","54",,
Switzerland,"2011-10-09","15",,
Mexico,"2005-07-24","664","0.135",
Austria,"2010-09-12","678",,
Uruguay,"2010-08-22","162",,
Hungary,"2010-11-28","52",,
Spain,"2009-09-13","51",,
Switzerland,"2007-09-23","30",,
Argentina,"2011-10-02","88","0.027",
Russia,"2011-04-24","378",,
Chile,"2004-12-05","2",,
Poland,"2013-05-26","14",,
Bulgaria,"2012-07-01","146",,
Austria,"2006-01-08","873",,
United States,"2014-05-04","1415",,
Japan,"2004-02-29","91",,
Paraguay,"2008-02-17","173",,
Switzerland,"2007-07-15","15",,
Spain,"2006-10-01","32",,
Germany,"2008-12-14","1401",,
Germany,"2005-08-07","505",,
Australia,"2004-07-25",NA,,
Ukraine,"2004-07-18",NA,,
Peru,"2009-10-04","202",,
Netherlands,"2009-05-10","22",,
Sweden,"2012-01-22","5",,
New Zealand,"2009-11-15","26",,
Bolivia,"2005-03-13","378","0.028",
Mexico,"2007-10-14","1198","0.488",
Australia,"2013-03-17","275",,
Japan,"2005-10-30","20",,
Bulgaria,"2012-03-04","436",,
Germany,"2007-12-09","1113",,
Chile,"2014-11-09","7",,
Argentina,"2015-06-14","247","0.041",
Bulgaria,"2003-11-02",NA,,
Brazil,"2007-12-30","186","0.194",
Uruguay,"2006-02-05","80",,
Sweden,"2003-12-14",NA,,
Australia,"2014-02-16","145",,
Australia,"2006-12-24","165",,
Bulgaria,"2007-08-12","366",,
Ukraine,"2005-01-02",NA,,
Spain,"2004-10-10","33",,
Brazil,"2012-01-08","95","0.112",
Uruguay,"2012-02-12","51",,
Bolivia,"2003-03-16","541","0.289",
United States,"2008-03-23","2172",,
Chile,"2013-03-10","5",,
Romania,"2007-01-07","1270",,
Belgium,"2004-12-12","137",,
Russia,"2006-04-02","389",,
Brazil,"2004-04-04","239","0.071",
Austria,"2010-05-16","527",,
United States,"2012-01-29","2507",,
Mexico,"2009-11-22","1370","0.432",
Netherlands,"2014-08-10","16",,
Canada,"2009-11-29","2489",,
Japan,"2015-03-22","113",,
Ukraine,"2015-02-01","559",,
Argentina,"2014-01-26","80","0.096",
Netherlands,"2007-12-30","51",,
Romania,"2004-06-13","741",,
Poland,"2011-09-04","7",,
Peru,"2007-06-10","303",,
Bolivia,"2003-04-13","580","0.101",
France,"2012-07-08","4",,
Bulgaria,"2011-07-17","158",,
Switzerland,"2015-02-01","822",,
Japan,"2005-10-09","4",,
Bolivia,"2005-08-14","381","0.009",
Austria,"2009-02-08","1434",,
Switzerland,"2005-01-02","53",,
Bulgaria,"2012-04-08","263",,
Brazil,"2009-05-10","279","0.23",
United States,"2004-08-29","701",,
Norway,"2004-04-11",NA,,
New Zealand,"2012-09-02","95",,
Romania,"2009-08-02","551",,
Norway,"2015-05-03","53",,
Paraguay,"2014-10-19","258",,
Brazil,"2014-08-10","203","0.059",
Paraguay,"2010-08-08","241",,
Belgium,"2007-03-18","94",,
Bulgaria,"2007-01-14","2845",,
Netherlands,"2004-04-04","12",,
Japan,"2005-11-13","66",,
South Africa,"2011-08-28","2468",,
Canada,"2008-07-06","520",,
Paraguay,"2006-05-07","255",,
Netherlands,"2012-01-08","40",,
Spain,"2012-12-23","54",,
Russia,"2009-03-01","975",,
France,"2008-07-27","4",,
Austria,"2006-03-26","916",,
Australia,"2007-02-04","134",,
Paraguay,"2003-09-21",NA,,
Poland,"2003-04-27",NA,,
Australia,"2005-11-27",NA,,
Austria,"2011-01-02","930",,
Belgium,"2012-03-18","100",,
Peru,"2007-09-30","308",,
France,"2003-02-09",NA,,
United States,"2014-09-14","1229",,
Switzerland,"2014-08-17","32",,
Chile,"2013-09-08","17",,
Bolivia,"2008-09-21","324","0.008",
Argentina,"2003-01-26",NA,NA,
France,"2013-03-31","32",,
Australia,"2011-06-19","503",,
Germany,"2012-10-21","864",,
Hungary,"2007-12-23","221",,
France,"2006-11-19","56",,
Bolivia,"2012-10-07","183","0.014",
Uruguay,"2013-02-17","55",,
Spain,"2010-12-26","209",,
Japan,"2008-09-07","2",,
Canada,"2008-07-13","491",,
France,"2006-03-05","75",,
Canada,"2012-01-15","2118",,
Spain,"2005-03-20","52",,
Chile,"2007-11-04","4",,
Austria,"2014-08-03","501",,
New Zealand,"2003-12-14",NA,,
New Zealand,"2012-01-22","10",,
South Africa,"2003-09-14",NA,,
Sweden,"2009-11-15","41",,
Bolivia,"2013-05-05","215","0.018",
Chile,"2008-09-28","5",,
Canada,"2006-05-28","1078",,
Peru,"2005-07-03","335",,
Brazil,"2008-08-31","199","0.031",
Netherlands,"2013-03-24","48",,
Chile,"2011-06-12","10",,
Canada,"2014-06-01","1101",,
South Africa,"2008-12-21","2126",,
Chile,"2008-03-30","6",,
Bolivia,"2005-05-08","358","0.045",
Chile,"2012-03-11","3",,
United States,"2005-02-06","4037",,
Romania,"2010-10-31","673",,
Chile,"2010-06-13","7",,
France,"2006-02-19","172",,
Bulgaria,"2004-03-14",NA,,
Romania,"2007-05-27","600",,
Uruguay,"2012-12-09","64",,
Germany,"2015-04-05","774",,
Australia,"2014-05-25","520",,
Bolivia,"2012-04-29","208","0.034",
Chile,"2009-12-27","2",,
France,"2014-09-28","20",,
Japan,"2012-10-28","39",,
Russia,"2012-08-19","280",,
Hungary,"2014-03-23","96",,
Australia,"2008-11-09","284",,
Netherlands,"2008-08-31","21",,
Norway,"2004-01-04",NA,,
Romania,"2015-06-28","526",,
Russia,"2012-05-06","455",,
Chile,"2015-05-31","15",,
Norway,"2015-03-01","466",,
Mexico,"2006-10-15","1181","0.204",
Sweden,"2012-09-02","4",,
Argentina,"2012-02-26","63","0.077",
Bolivia,"2004-03-28","446","0.056",
Brazil,"2013-03-24","167","0.423",
Hungary,"2008-03-09","104",,
Australia,"2005-02-27",NA,,
Japan,"2014-09-21","10",,
Ukraine,"2014-08-17","249",,
Paraguay,"2015-05-17","384",,
Bulgaria,"2007-06-24","509",,
Norway,"2009-05-17","45",,
Uruguay,"2014-08-31","166",,
Spain,"2003-06-08",NA,,
Argentina,"2004-07-04","254","0.022",
Poland,"2006-11-26","46",,
United States,"2005-05-22","850",,
Spain,"2009-12-13","45",,
Norway,"2006-09-03","19",,
United States,"2004-09-05","810",,
Spain,"2015-04-12","27",,
Peru,"2010-05-23","195",,
Bulgaria,"2005-08-28","500",,
Spain,"2003-08-17",NA,,
Ukraine,"2003-03-30",NA,,
Switzerland,"2007-06-03","16",,
Chile,"2007-02-11","2",,
Australia,"2009-01-04","157",,
Australia,"2004-08-08",NA,,
South Africa,"2013-08-18","3586",,
Paraguay,"2007-04-08","301",,
Romania,"2006-01-29","744",,
Bulgaria,"2014-10-26","506",,
Hungary,"2010-08-15","36",,
Argentina,"2005-07-17","237","0.014",
Sweden,"2004-09-12",NA,,
Russia,"2013-02-03","1458",,
Paraguay,"2009-10-11","249",,
South Africa,"2011-09-11","2773",,
Norway,"2003-08-31",NA,,
Chile,"2009-03-15","3",,
Brazil,"2010-06-20","225","0.165",
Hungary,"2011-12-04","61",,
Germany,"2004-10-31","944",,
Austria,"2011-09-18","423",,
Poland,"2011-08-07","7",,
Russia,"2007-08-05","149",,
New Zealand,"2003-08-24",NA,,
Switzerland,"2009-10-18","57",,
Peru,"2011-05-01","162",,
Norway,"2008-02-24","59",,
Australia,"2006-01-22","121",,
Norway,"2013-10-13","36",,
Mexico,"2014-11-16","1598","0.325",
France,"2013-04-21","11",,
South Africa,"2012-12-02","1996",,
Ukraine,"2009-10-18","671",,
Germany,"2004-02-15","1194",,
Peru,"2003-07-06","371",,
Bolivia,"2004-11-21","478","0.017",
Sweden,"2012-04-22","2",,
United States,"2008-01-20","2921",,
Hungary,"2007-01-28","229",,
Paraguay,"2007-11-18","260",,
Switzerland,"2003-03-30",NA,,
United States,"2009-03-08","2711",,
Ukraine,"2007-06-03","194",,
South Africa,"2005-11-06",NA,,
Paraguay,"2005-06-05","286",,
Australia,"2004-02-08",NA,,
Mexico,"2010-11-21","1412","0.186",
New Zealand,"2015-02-15","19",,
Bulgaria,"2010-11-07","648",,
New Zealand,"2007-10-21","14",,
Hungary,"2008-03-02","120",,
Bulgaria,"2012-06-24","169",,
Spain,"2004-07-11","16",,
Netherlands,"2010-06-20","12",,
Canada,"2006-11-12","2228",,
Uruguay,"2005-10-02","175",,
Poland,"2009-11-22","410",,
Germany,"2003-08-03",NA,,
South Africa,"2012-01-08","1627",,
France,"2010-01-10","82",,
Bolivia,"2010-08-22","275","0.011",
South Africa,"2004-04-04",NA,,
New Zealand,"2012-05-13","28",,
Paraguay,"2013-05-12","220",,
United States,"2006-10-08","1230",,
Romania,"2010-04-11","573",,
Australia,"2004-01-11",NA,,
Japan,"2010-11-07","37",,
Switzerland,"2011-06-26","5",,
Japan,"2012-06-24","7",,
Netherlands,"2011-08-28","14",,
Spain,"2003-02-23",NA,,
Russia,"2013-07-14","225",,
Canada,"2006-10-22","2003",,
United States,"2004-05-02","705",,
New Zealand,"2014-03-30","31",,
Hungary,"2013-07-07","27",,
Poland,"2007-10-14","46",,
South Africa,"2007-12-30","1915",,
France,"2004-09-26","40",,
Uruguay,"2009-08-16","132",,
Switzerland,"2003-09-28",NA,,
Austria,"2014-09-07","775",,
South Africa,"2014-08-10","4365",,
Argentina,"2010-03-14","92","0.287",
Norway,"2005-11-20","72",,
New Zealand,"2004-03-21",NA,,
Japan,"2014-10-26","34",,
Brazil,"2011-08-28","171","0.076",
France,"2007-11-11","77",,
Mexico,"2003-04-27",NA,"0.072",
France,"2005-09-11","17",,
Ukraine,"2003-09-28",NA,,
Bolivia,"2006-07-09","281","0.023",
New Zealand,"2015-03-08","22",,
Germany,"2006-10-29","918",,
Australia,"2009-08-30","365",,
Russia,"2009-03-29","453",,
France,"2003-01-12",NA,,
France,"2008-05-18","6",,
Australia,"2011-02-20","154",,
Bolivia,"2007-03-04","300","0.202",
Canada,"2012-10-14","1946",,
Argentina,"2014-03-09","91","0.077",
Paraguay,"2008-04-13","252",,
Chile,"2006-09-10","7",,
Ukraine,"2011-06-26","180",,
Japan,"2007-06-24","3",,
Hungary,"2011-11-27","66",,
Mexico,"2011-09-04","638","0.118",
Belgium,"2015-03-15","176",,
Romania,"2011-10-23","675",,
South Africa,"2009-05-10","3326",,
Germany,"2007-09-09","717",,
Russia,"2007-12-16","511",,
Argentina,"2013-06-02","207","0.077",
Japan,"2005-08-28","1",,
Hungary,"2007-03-25","60",,
France,"2006-05-21","9",,
New Zealand,"2004-06-27",NA,,
Russia,"2004-09-19",NA,,
New Zealand,"2011-08-21","82",,
Australia,"2010-07-25","379",,
Brazil,"2011-04-10","196","0.444",
Poland,"2005-05-01","43",,
Norway,"2014-02-09","228",,
Sweden,"2012-05-20","2",,
New Zealand,"2004-12-26",NA,,
Australia,"2007-05-20","480",,
Bulgaria,"2014-09-21","310",,
Chile,"2013-12-01","6",,
Brazil,"2008-04-20","291","0.662",
United States,"2011-06-05","811",,
Spain,"2010-02-14","11",,
South Africa,"2009-09-27","2624",,
Canada,"2013-11-10","2130",,
Peru,"2014-11-02","133",,
Ukraine,"2007-12-02","497",,
Japan,"2004-03-14","29",,
Mexico,"2007-05-13","1071","0.061",
Russia,"2008-01-13","369",,
Switzerland,"2003-02-16",NA,,
Norway,"2008-06-22","14",,
Uruguay,"2005-08-14","162",,
Germany,"2012-07-15","386",,
Switzerland,"2003-09-07",NA,,
Brazil,"2011-02-06","122","0.216",
Uruguay,"2003-04-13","111",,
Sweden,"2009-01-18","23",,
Germany,"2005-05-15","671",,
Mexico,"2011-10-30","1067","0.128",
Switzerland,"2004-08-15","6",,
Bulgaria,"2012-10-28","327",,
Romania,"2004-02-01","754",,
Peru,"2006-05-14","394",,
Chile,"2004-11-28","2",,
Romania,"2015-05-24","589",,
Hungary,"2011-07-10","21",,
New Zealand,"2009-06-28","262",,
Ukraine,"2004-08-15",NA,,
Sweden,"2008-11-02","3",,
Netherlands,"2008-04-20","28",,
Chile,"2013-12-22","4",,
Mexico,"2013-05-26","820","0.113",
Germany,"2010-09-05","745",,
France,"2006-08-06","7",,
Bulgaria,"2008-09-07","340",,
Sweden,"2003-04-06",NA,,
Peru,"2011-01-23","106",,
Uruguay,"2003-03-16","105",,
Ukraine,"2003-02-16",NA,,
Poland,"2005-07-24","12",,
Switzerland,"2007-12-02","39",,
Romania,"2008-08-24","580",,
Hungary,"2003-05-11",NA,,
Bolivia,"2012-02-12","119","0.087",
Netherlands,"2011-04-10","17",,
Argentina,"2007-04-29","182","0.128",
Ukraine,"2003-09-07",NA,,
Germany,"2014-01-19","808",,
New Zealand,"2003-01-19",NA,,
Bolivia,"2006-02-05","202","0.009",
Poland,"2011-05-15","16",,
Belgium,"2014-04-13","55",,
Norway,"2004-02-22",NA,,
Canada,"2004-01-25","2155",,
Mexico,"2014-11-30","1678","0.192",
Australia,"2013-12-29","148",,
South Africa,"2010-05-30","2687",,
Mexico,"2010-09-19","927","0.209",
Chile,"2005-04-24","3",,
Austria,"2007-09-02","529",,
Sweden,"2013-06-23","1",,
Netherlands,"2011-02-06","68",,
Hungary,"2015-03-29","78",,
France,"2010-12-05","56",,
Mexico,"2005-05-29","843","0.07",
Belgium,"2005-06-26","25",,
Uruguay,"2005-03-13","86",,
Paraguay,"2002-12-29",NA,,
Sweden,"2013-09-01","3",,
Norway,"2008-12-21","129",,
Paraguay,"2007-07-08","490",,
Norway,"2003-09-14",NA,,
Canada,"2012-07-22","619",,
United States,"2007-11-04","1594",,
France,"2009-05-31","6",,
Paraguay,"2008-01-27","155",,
Switzerland,"2007-05-27","14",,
France,"2005-04-17","25",,
France,"2003-10-26","82",,
Brazil,"2010-12-19","129","0.105",
United States,"2008-09-28","1275",,
Peru,"2003-10-19","395",,
Uruguay,"2014-09-07","137",,
Australia,"2010-06-06","337",,
United States,"2011-06-12","744",,
Switzerland,"2010-10-31","24",,
United States,"2008-03-30","1776",,
Japan,"2010-02-14","51",,
Bolivia,"2011-12-25","117","0.016",
Australia,"2014-05-11","485",,
New Zealand,"2012-04-01","20",,
Argentina,"2005-10-23","165","0.046",
Spain,"2004-03-14","19",,
Chile,"2014-09-14","16",,
Germany,"2013-01-27","1641",,
United States,"2013-09-08","1154",,
Germany,"2011-07-03","295",,
Mexico,"2007-12-23","1854","0.069",
Paraguay,"2014-05-18","313",,
Paraguay,"2013-02-10","135",,
Netherlands,"2009-06-14","28",,
Peru,"2006-03-19","229",,
Switzerland,"2015-06-28","27",,
Bulgaria,"2010-12-26","698",,
Netherlands,"2010-12-19","48",,
Argentina,"2010-07-04","187","0.034",
Germany,"2014-10-12","921",,
United States,"2015-05-31","1143",,
Bolivia,"2010-09-12","259","0.016",
Bulgaria,"2005-03-20","1064",,
Ukraine,"2015-06-28","205",,
South Africa,"2015-03-01","2492",,
Romania,"2014-08-17","546",,
Germany,"2006-06-25","367",,
France,"2013-09-15","19",,
South Africa,"2004-01-04",NA,,
Bolivia,"2006-01-08","247","0.01",
France,"2003-08-10",NA,,
United States,"2012-03-11","2556",,
Belgium,"2013-02-03","1387",,
Ukraine,"2007-05-27","210",,
Chile,"2005-02-06","2",,
Mexico,"2008-03-09","1380","0.054",
United States,"2010-06-13","808",,
France,"2013-01-20","703",,
Brazil,"2009-06-14","258","0.111",
Ukraine,"2010-10-31","417",,
Austria,"2009-08-16","470",,
United States,"2009-12-27","2199",,
Mexico,"2014-03-23","1302","0.102",
France,"2008-11-23","54",,
Poland,"2006-08-20","12",,
Belgium,"2007-08-05","12",,
Argentina,"2003-11-23","133","0.027",
Hungary,"2006-10-15","47",,
New Zealand,"2014-12-21","23",,
Austria,"2003-03-16",NA,,
Argentina,"2009-05-24","190","0.489",
Ukraine,"2006-01-29","358",,
Canada,"2013-10-20","1849",,
Netherlands,"2013-06-30","20",,
Poland,"2011-02-27","120",,
Peru,"2008-06-29","248",,
Canada,"2013-09-29","1546",,
Poland,"2013-04-14","36",,
United States,"2009-03-15","2348",,
New Zealand,"2004-08-22",NA,,
Norway,"2011-09-11","35",,
Spain,"2010-11-07","12",,
Australia,"2009-02-15","124",,
Argentina,"2004-03-07","108","0.039",
South Africa,"2003-08-31",NA,,
Canada,"2014-06-08","1013",,
Spain,"2012-06-24","10",,
Poland,"2008-07-20","11",,
Bulgaria,"2004-07-11",NA,,
Australia,"2014-04-20","308",,
Canada,"2010-01-03","2176",,
Netherlands,"2009-11-08","199",,
Bolivia,"2010-05-16","255","0.024",
Belgium,"2012-08-19","10",,
Norway,"2013-08-18","47",,
Belgium,"2012-05-06","39",,
Uruguay,"2007-09-02","196",,
Australia,"2015-07-19","1274",,
Peru,"2006-09-24","337",,
Chile,"2005-05-22","9",,
Austria,"2005-03-13","1052",,
Japan,"2003-02-23",NA,,
Chile,"2004-09-05","3",,
Paraguay,"2012-06-03","208",,
Peru,"2009-01-25","168",,
South Africa,"2006-09-03","2798",,
